demo_id,domain,folder,demo_dir,status,mode
34,bridge,demo-34-omega-sm-master-flagship,demos/bridge/demo-34-omega-sm-master-flagship,PASS,run
56,controllers,demo-56-deterministic-operator-calculus-vs-fd,demos/controllers/demo-56-deterministic-operator-calculus-vs-fd,PASS,run
59,controllers,demo-59-electromagnetism,demos/controllers/demo-59-electromagnetism,PASS,run
69,controllers,demo-69-oatb-operator-admissibility-transfer-bridge,demos/controllers/demo-69-oatb-operator-admissibility-transfer-bridge,PASS,run
36,cosmo,demo-36-big-bang-master-flagship,demos/cosmo/demo-36-big-bang-master-flagship,PASS,run
39,cosmo,demo-39-bb-a2,demos/cosmo/demo-39-bb-a2,PASS,run
53,foundations,demo-53-lawbook-emergence,demos/foundations/demo-53-lawbook-emergence,PASS,run
71,foundations,demo-71-one-action-master-flagship,demos/foundations/demo-71-one-action-master-flagship,PASS,run
75,foundations,demo-75-prediction-ledger-master-flagship,demos/foundations/demo-75-prediction-ledger-master-flagship,PASS,run
77,foundations,demo-77-grammar-rigidity-master-flagship,demos/foundations/demo-77-grammar-rigidity-master-flagship,PASS,run
51,general_relativity,demo-51-qft-gr-vacuum-suppression,demos/general_relativity/demo-51-qft-gr-vacuum-suppression,PASS,run
58,general_relativity,demo-58-emergent-weak-field-gr,demos/general_relativity/demo-58-emergent-weak-field-gr,PASS,run
63,general_relativity,demo-63-gravitational-wave-inspiral-phasing,demos/general_relativity/demo-63-gravitational-wave-inspiral-phasing,PASS,run
68,general_relativity,demo-68-general-relativity-master-flagship,demos/general_relativity/demo-68-general-relativity-master-flagship,PASS,run
65,infinity,demo-65-continuous-lift-paradox,demos/infinity/demo-65-continuous-lift-paradox,PASS,run
67,infinity,demo-67-navier-stokes-master-flagship,demos/infinity/demo-67-navier-stokes-master-flagship,PASS,run
60,quantum,demo-60-quantum-master-flagship,demos/quantum/demo-60-quantum-master-flagship,PASS,run
66,quantum_gravity,demo-66-quantum-gravity-master-flagship-v4,demos/quantum_gravity/demo-66-quantum-gravity-master-flagship-v4,PASS,cert
72,sm,demo-72-yukawa,demos/sm/demo-72-yukawa,PASS,run
76,sm,demo-76-primorial-yukawa-master-flagship,demos/sm/demo-76-primorial-yukawa-master-flagship,PASS,run
33,standard_model,demo-33-first-principles-standard-model-sm28-closure,demos/standard_model/demo-33-first-principles-standard-model-sm28-closure,PASS,cert
37,standard_model,demo-37-math-sm-master-flagship,demos/standard_model/demo-37-math-sm-master-flagship,PASS,run
54,standard_model,demo-54-master-flagship-demo,demos/standard_model/demo-54-master-flagship-demo,PASS,run
55,standard_model,demo-55-proton-charge-radius,demos/standard_model/demo-55-proton-charge-radius,PASS,run
70,standard_model,demo-70-higgs-master-flagship,demos/standard_model/demo-70-higgs-master-flagship,PASS,run
73,standard_model,demo-73-flavor-completion-master-flagship,demos/standard_model/demo-73-flavor-completion-master-flagship,PASS,run
76,standard_model,demo-76-primorial-yukawa-master-flagship,demos/standard_model/demo-76-primorial-yukawa-master-flagship,PASS,run
40,substrate,demo-40-universe-from-zero,demos/substrate/demo-40-universe-from-zero,PASS,run
64,substrate,demo-64-base-gauge-invariance-integer-selector,demos/substrate/demo-64-base-gauge-invariance-integer-selector,PASS,run
